name,code,type,glottocode,glottolog_name
Algonquian,algo,subgroup,algo1257,
Allaura,alh,subgroup,alaw1244,Alawa
Algonkin,alq,subgroup,algo1255,Algonquin
Northern Algonquin,alq-nor,language,cree1271,
Alutor,alr,language,alut1245,Alutor
Altai (Southern),alt,subgroup,sout2694,Southern Altai
Altai Proper,alt-alt,dialect,,
Alyawarre,aly,subgroup,alya1239,Alyawarr
Amurdag,amg,subgroup,amar1271,Amurdak
Amusgo,amu,language,guer1243,Guerrero Amuzgo
Amusgo,amuz,subgroup,guer1243,
Anmatjirra,amx,subgroup,anma1239,Anmatyerre
Andi,andi,subgroup,,
Austronesische Sprachen,anes,subgroup,aust1307,
Antakarinya,ant,language,anta1253,Antakarinya
Anindilyakwa,aoi,language,anin1240,Anindilyakwa
Apachean Athabaskan,apac,subgroup,apac1239,
Jicarilla,apj,subgroup,jica1244,Jicarilla Apache
Llanero,apk,subgroup,kiow1264,Kiowa Apache
Mescalero-Chiricahau,apm,language,mesc1238,Mescalero-Chiricahua Apache
Chiricahua,apm-chi,dialect,mesc1238,
Mescalero,apm-mes,dialect,mesc1238,
"Apache, Western",apw,subgroup,west2615,Western Apache
Archi,aqc,subgroup,arch1244,Archi
Arabic,ara,subgroup,arab1395,
Araona,arao,subgroup,arao1248,
"Arabic, Standard",arb,subgroup,stan1318,Standard Arabic
Ngarabana,ard,subgroup,arab1267,Arabana
Arrernte,are,subgroup,west2441,Western Arrarnta
Southern Aranda,are-sou,dialect,,
Aragonese,arg,language,arag1245,Aragonese
Arapahoan,arho,subgroup,arap1274,
Arikara,ari,language,arik1262,Arikara
armenische,arme,subgroup,east2768,
Araona,aro,language,arao1248,Araona
Arapaho,arp,subgroup,arap1274,Arapaho
"Arabic, Algerian Spoken",arq,language,alge1239,Algerian Arabic
"Arabic, Najdi Spoken",ars,language,najd1235,Najdi Arabic
Arabic (Moroccan),ary,subgroup,moro1292,Moroccan Arabic
"Arabic, Egyptian Spoken",arz,language,egyp1253,Egyptian Arabic
Kow,asa,subgroup,asut1235,Asu (Tanzania)
Stoney,asb,language,assi1247,Assiniboine
Astur-Leonese,ast,subgroup,astu1245,Asturian-Leonese-Cantabrian
Atsahuaca,atc,subgroup,atsa1242,Atsahuaca
Athapaskan,atha,subgroup,atha1247,
Attikamek,atj,language,atik1240,Atikamekw
Gros Ventre,ats,dialect,gros1243,Gros Ventre
Telengit,atv,dialect,nort2686,Northern Altai
Australian Creole,aucr,subgroup,,
Kaukau,aue,subgroup,kxau1241,Groot Laagte =/Kx'au//'ein
Australian Pidgin,aupi,subgroup,,
Austroasiatischen Sprachen,ausa,subgroup,aust1305,
Avar,ava,language,avar1256,Avar
Awabakal,awk,language,awab1243,Awabakal
Cameeragal,awk-cam,dialect,came1251,
Wannerawa,awk-won,dialect,wona1238,
Awngi,awn,language,awng1244,Awngi
Aymara,ayc,subgroup,sout2996,Southern Aymara
Guang,ayg,subgroup,giny1241,Ginyanga
Arabic (Eastern Libyan),ayl-eas,dialect,,
Aymaran Family,ayma,subgroup,ayma1253,
Ayoreo,ayo,language,ayor1240,Ayoreo
"Arabic, North Mesopotamian Spoken",ayp,language,nort3142,North Mesopotamian Arabic
Aymara,ayr,subgroup,cent2142,Central Aymara
Afsar,azb-afs,dialect,afsh1238,
Northern Iranian,azb-ira,dialect,,
Oaxaca Amuzgo,azg,subgroup,sanp1260,San Pedro Amuzgos Amuzgo
"Azerbaijani, North",azj,subgroup,nort2697,North Azerbaijani
Amusgo,azm,language,ipal1235,Ipalapa Amuzgo
Azerbaijanian,azn,language,west2778,Western Durango Nahuatl
Aztecold,azte,subgroup,,
Babine-Carrier,babi,subgroup,babi1235,
Baskir,bak,language,bash1264,Bashkir
Bamanankan,bam,language,bamb1269,Bambara
Central Bantu,bant,subgroup,,
Basaa,bas,language,basa1284,Basa (Cameroon)
Berber Proper,bbpr,subgroup,,
Baule,bci,subgroup,baou1238,Baoulé
Bardi,bcj,subgroup,bard1255,Bardi
Punamba,bck,subgroup,buna1275,Bunaba
Benue-Congo,bcon,subgroup,,
Babine,bcr,language,babi1235,Witsuwit'en-Babine
Bajau (Indonesian),bdl,subgroup,indo1317,Indonesian Bajau
Mbulunge,bds,subgroup,buru1320,Burunge
Budulung,bdy,subgroup,midd1357,Middle Clarence Bandjalang
Giabal,bdy-gid,dialect,,
Widjabal,bdy-wid,dialect,,
Yugumbir,bdy-yug,dialect,,
Beaver,bea,language,beav1236,Beaver
Beaver-Sekani,beav,subgroup,,
Bedya,bej,subgroup,beja1238,Beja
Bielorussian,bel,subgroup,bela1254,Belarusian
Brèst-Pinsk,bel-brp,dialect,,
Bella Coola,belc,subgroup,,
Central Belarusan,bel-cen,dialect,,
Polack,bel-pol,dialect,,
Sluck-Babrujsk-Mazyr,bel-sbm,dialect,,
Vicebsk-Mahilëŭ,bel-vic,dialect,,
Bemba,bem,language,bemb1257,Bemba (Zambia)
Berber,berb,subgroup,,
Bena,bez,language,bena1262,Bena (Tanzania)
Nil-Bari,bfa,subgroup,bari1284,Bari
Badugu,bfq,subgroup,bada1257,Badaga
Wuri,bga-wur,dialect,,
Bidungu,bia,subgroup,badi1246,Badimaya
Biu-Mandara Branch,bium,subgroup,,
Parnkala,bjb,subgroup,bang1339,Banggarla
Bandjigali,bjd,language,band1337,Bandjigali
Bayali,bjy,language,baya1257,Bayali
Bakoko,bkh,language,bako1249,Bakoko
Blackfoot,bla,subgroup,siks1238,Siksika
Bella Coola,blc,language,bell1243,Bella Coola
Blackfoot,blft,subgroup,,
Bomu,bmq,subgroup,bomu1247,Bomu
Benga,bng,subgroup,beng1282,Benga
Bobangi,bni,subgroup,bang1354,Bobangi
Batanga,bnm,language,bata1285,Batanga
Baniata,bnt,subgroup,,
Bantoid,bntd,subgroup,,
Boni,bob,language,awee1242,Aweer
Bolon,bof,subgroup,bolo1266,Bolon
Moho,bopa,subgroup,,
Bondei,bou,language,bond1247,Bondei
Baure,brg,subgroup,baur1253,Baure
Mokpwe,bri,language,mokp1239,Mokpwe
Akosi,bss,subgroup,akoo1248,Akoose
Mwambong,bss-mwa,dialect,,
Beothuk,bthk,subgroup,,
Beothuk,bue,subgroup,beot1247,Beothuk
Bushoong,buf,language,bush1247,Bushoong
Bulu,bum,subgroup,bulu1251,Bulu (Cameroon)
Buriat,buri,subgroup,,
Bubi,bvb,subgroup,bube1242,Bube
Komi,bvhe,subgroup,,
Burarra,bvr,subgroup,bura1267,Burarra
Dibole,bvx,language,dibo1245,Dibole
Barwe,bwg,language,barw1243,Barwe
Yarri-kuna,bxi,subgroup,pirl1238,Pirlatapa
Baijungo,bxj,subgroup,bayu1240,Bayungu
Bukusu,bxk,language,buku1249,Bukusu
"Buriat, Mongolia",bxm,language,mong1330,Mongolia Buriat
Bootena,bxn,subgroup,burd1238,Burduna
Northern Mongolian,bxr,subgroup,russ1264,Russia Buriat
Bankagooma,bxw,subgroup,bank1258,Bankagooma
Bidyara,bym,language,bidy1243,Bidyara
Gnoree,bym-ngu,dialect,,
Wadjabangai,bym-wdb,dialect,,
Birri Gubba,bzr,subgroup,biri1256,Biri
Barada,bzr-bar,dialect,,
Jangaa,bzr-jan,dialect,,
Kabelbara,bzr-kab,dialect,,
Karranbal,bzr-kar,dialect,,
Wiri,bzr-wir,dialect,,
Yambina,bzr-yam,dialect,,
Ch'orti,caa,subgroup,chor1273,Chortí
"Chuj, San Sebastián Coatán",cac,subgroup,chuj1250,Chuj
Caddoe,cad,subgroup,cadd1256,Caddo
Ulkatcho,caf,subgroup,sout2958,Southern Carrier
Kahita,cahi,subgroup,,
Cakchiquel-Pocomchi,cakc,subgroup,,
California Athabaskan,cali,subgroup,,
Chákobo,cao,subgroup,chac1251,Chácobo
Mosetén,cas,language,mose1249,Mosetén-Chimané
Catalan,cat,subgroup,stan1289,Catalan
Chiquitano,cax,subgroup,chiq1248,Lomeriano-Ignaciano Chiquitano
Paiconeca,cax-pai,dialect,,
Cayuga,cay,subgroup,cayu1261,Cayuga
Kanichana,caz,subgroup,cani1243,Canichana
Cicopi,cce,subgroup,chop1243,Chopi
Tonga,cce-ton,dialect,,
Chinanteco (Comaltepec),cco,subgroup,coma1246,Comaltepec Chinantec
Central Central-Southwestern Mande,ccsm,subgroup,,
Central Cushtic,ccus,subgroup,,
Celtic,celt,subgroup,,
Central-Eastern Malayo-Polynesian,cemp,subgroup,,
Chad,chad,subgroup,,
Chaga (E.30),chag,subgroup,,
Chohco,chch,subgroup,,
Highland Chontal,chd,dialect,high1242,Highland Oaxaca Chontal
Chechen,che,language,chec1245,Chechen
Itumkala,che-itu,dialect,,
Ploskost,che-plo,dialect,,
Mariic,cher,subgroup,,
Cheyenne,chey,subgroup,,
Yokotán,chf,subgroup,taba1266,Tabasco Chontal
Chinanteko,chic,subgroup,,
Chinook,chik,subgroup,,
Chilcotin,chil,subgroup,,
Chinesische,chin,subgroup,,
Chiquito,chiq,subgroup,,
Chinanteco,chj,subgroup,ojit1237,Ojitlán Chinantec
Cahuilla,chl,subgroup,cahu1264,Cahuilla
Chinook Wawa,chn,language,chin1272,Creolized Grand Ronde Chinook Jargon
Choctaw,cho,subgroup,choc1276,Choctaw
Chowra-Teressa,chot,subgroup,,
Sluacus-tinneh,chp,subgroup,chip1261,Chipewyan
Chinanteco (Quiotepec),chq,subgroup,quio1240,Quiotepec Chinantec
Cherokee,chr,subgroup,cher1273,Cherokee
Chuvash,chv,language,chuv1255,Chuvash
Winnebago-Chiwere,chwi,subgroup,,
Cheyenne,chy,subgroup,chey1247,Cheyenne
Ozumacin Chinantec,chz,language,ozum1235,Ozumacín Chinantec
Chickasaw,cic,language,chic1270,Chickasaw
Ojibwe (Minnesota),ciw,subgroup,chip1241,Chippewa
Chokwe,cjk,language,chok1245,Chokwe
Kuznets Tatar,cjs,subgroup,shor1247,Mrassu Shor-Tutal
Kurdy,ckb,subgroup,cent1972,Central Kurdish
Chukot,ckt,language,chuk1273,Chukchi
Koasati,cku,language,koas1236,Koasati
Kavalan,ckv,language,kava1241,Kavalan
Ron,cla,language,ronn1241,Ron
Chilcotin,clc,language,chil1280,Chilcotin-Nicola
Lealao Chinantec,cle,subgroup,leal1235,Lealao Chinantec
Klellam,clm,subgroup,clal1241,Clallam
Lowland Chontal,clo,dialect,lowl1260,Lowland Oaxaca Chontal
Chulym,clw,subgroup,chul1246,Lower Chulym Turkic
"Chatino, Eastern Highland",cly,subgroup,east2558,Eastern Highland Chatino
Cerma,cme,subgroup,cerm1238,Cerma
"Chinese, Mandarin",cmn,subgroup,mand1415,Mandarin Chinese
Cree-Montagnais-Naskapi,cmna,subgroup,,
Central Malayo-Polynesian,cmpo,subgroup,,
Chinanteco,cnl,subgroup,lala1270,Lalana Chinantec
Tepetotutla Chinantec,cnt,language,tepe1279,Tepetotutla Chinantec
Central Numic,cnum,subgroup,,
Chicomuceltec,cob,subgroup,chic1271,Chicomuceltec
Cadegomeño,coj,dialect,coch1272,Cochimi
Guaycura,coj-gua,dialect,,
Monqui-Didiu,coj-mon,dialect,,
Cora,cok,subgroup,sant1424,Santa Teresa Cora
Moses Columbia,col,dialect,colu1241,Columbia-Wenatchi
Comanche,com,language,coma1245,Comanche
Çatlotq,coo,subgroup,como1259,Comox
Sliammon,coo-sli,dialect,,
Koran,cora,subgroup,,
Corsican,cos,language,cors1241,Corsican
Palantla Chinanteko,cpa,language,pala1351,Palantla Chinantec
Central Papuan,cpap,subgroup,,
Central Quechua,cqch,subgroup,,
Coeur D'Alene,crd,subgroup,coeu1236,Coeur d'Alene
Cree,cree,subgroup,,
Michif,crg,language,mich1243,Michif
Crimean Tatar,crh,language,crim1257,Crimean Tatar
Southern East Cree,crj,language,sout2978,Southern East Cree
Western Cree,crk,subgroup,plai1258,Plains Cree
Northern East Cree,crl,language,nort1552,Northern East Cree
Eastern Swampy Cree,crm,language,moos1236,Moose Cree
Cora,crn,subgroup,elna1235,El Nayar Cora
Crow,cro,language,crow1244,Crow
Central Carrier,crx,subgroup,carr1249,Central Carrier
"Chinantec, Chiltepec",csa,subgroup,chil1282,Chiltepec Chinantec
Coast Salish,csal,subgroup,,
Kashubian,csb,subgroup,kash1274,Kashubian
Central Sierra Miwok,csm,subgroup,cent2140,Central Sierra Miwok
Chinanteco,cso,subgroup,soch1239,Sochiapam Chinantec
Central Sudanic,csud,subgroup,,
Swampy Cree,csw,subgroup,swam1239,Swampy Cree
Eastern Swampy Cree,csw-eas,language,,
Central/South-west Mande,cswm,subgroup,,
Western Swampy Cree,csw-wes,language,,
Tatalpepec Chatino,cta,dialect,tata1258,Tataltepec Chatino
Tepinapa Chinantec,cte,language,tepi1241,Tepinapa Chinantec
Chinanteco,ctl,subgroup,tlac1239,Tlacoatzintepec Chinantec
Chatino,ctp,language,west2644,Western Highland Chatino
Putum,ctu,subgroup,chol1282,Chol
Chatino,ctz,language,zaca1242,Zacatepec Chatino
Usila Chinanteko,cuc,language,usil1237,Usila Chinantec
Cupan,cupa,subgroup,,
proto-Cushtic,cush,subgroup,,
Kwikateko,cut,language,teut1235,Teutila Cuicatec
Kwikateko,cux,subgroup,tepe1280,Tepeuxila Cuicatec
Chinanteco,cvn,subgroup,vall1253,Valle Nacional Chinantec
Cree,cwd,subgroup,wood1236,Woods Cree
"Chatino, Nopala",cya,subgroup,nopa1235,Nopala Chatino
Cayubaba,cyb,subgroup,cayu1262,Cayubaba
Cochimi-Yuman,cyum,subgroup,,
Zenzontepec Chatino,czn,dialect,zenz1235,Zenzontepec Chatino
Dagbani,dag,language,dagb1246,Dagbani
Santee,dak,subgroup,dako1258,Dakota
Dakotan,dako,subgroup,,
Dahalo,dal,language,daha1245,Dahalo
Dargintsy,dar,subgroup,darg1241,North-Central Dargwa
Kajtak,dar-kaj,dialect,,
Kubachi,dar-kub,dialect,,
Taita,dav,subgroup,tait1250,Taita
Dyirbal,dbl,language,dyir1250,Dyirbal
Girramy,dbl-gir,dialect,,
Gulnguy,dbl-gul,dialect,,
Mamu,dbl-mam,dialect,,
Ngadjan,dbl-nga,dialect,,
Jaroo,ddj,subgroup,jaru1254,Jaru
Djaru,ddj-dja,dialect,,
Nyinin,ddj-nyi,dialect,,
The Detah-Ndilo dialect developed from intermarriage between the Yellowknife subdivision of the Chipewyan and the Dogrib. Lexical similarity 84% with Southern Slavey,dgr,subgroup,dogr1252,Dogrib
Dhegihan,dheg,subgroup,,
Waramiri,dhg,subgroup,dhan1270,Dhangu
Gaalpu,dhg-gaa,dialect,,
Riraidjango,dhg-rir,dialect,,
Wanʔguri,dhg-wan,dialect,,
Djalendi,dhl,subgroup,dhal1245,Dhalandji
Dal'gari,dhr,subgroup,dhar1247,Dhargari
Dhurga,dhu,subgroup,dhur1239,Dhurga
Walbanga,dhu-wal,dialect,,
Wandanian,dhu-wan,dialect,,
Dayerrie,dif,subgroup,dier1241,Dieri
Digo,dig,language,digo1243,Digo
Quemayá,dih,subgroup,kumi1248,Tipai
Djimba,djb,subgroup,djin1252,Djinba
Murinyuwan,djd,subgroup,djam1255,Jaminjung-Ngaliwurru
Ngaliwurru,djd-nga,dialect,,
Djinang,dji,language,djin1253,Djinang
Djeebbana,djj,subgroup,djee1236,Djeebbana
Djiwarli,djl,language,djiw1240,Djiwarli-Thiin
Jawan,djn,subgroup,djau1244,Jawoyn
Djawi,djw,subgroup,djaw1238,Djawi
Dolgan,dlg,subgroup,dolg1241,Dolgan
Ndendeule,dne,language,nden1249,Ndendeule
Dogon,dogn,subgroup,,
Dorhosye,dos,subgroup,dogo1295,Dogosé
Dravidian,drav,subgroup,,
Paakantyi,drl,language,darl1243,Paakantyi
Gu:rnu,drl-kul,dialect,,
Wilyaali,drl-wil,dialect,,
Drual Subgroup,drua,subgroup,,
Woru Kan,dtk-sag,dialect,,
Duala,dua,language,dual1243,Duala
Duwal,duj,subgroup,dhuw1249,Dhuwal
Djabu,duj-dja,dialect,,
Duungooma,dux,language,duun1242,Duungooma
Dyaberdyaber,dyb,language,dyab1238,Dyaberdyaber
Jukun,dyd,subgroup,dyug1238,Dyugun
Djan-Gadi,dyn,subgroup,dyan1250,Dyangadi
Jula,dyu,subgroup,dyul1238,Dyula
Dyaabugay,dyy,language,dyaa1242,Dyaabugay
Eastern Apachean Athabaskan,eapa,subgroup,,
Eastern Pomo,easn,subgroup,,
Eastern Berber,eber,subgroup,,
Embu,ebu,language,embu1241,Embu
East,echa,subgroup,,
East Cree,ecre,subgroup,,
East,ecus,subgroup,,
Eastern Eastern Mande,eemd,subgroup,,
Eastern Iranian,eira,subgroup,,
Modern Greek,ell,subgroup,mode1248,Modern Greek
Elamite,elx,subgroup,elam1244,Elamite
Eastern Miwok,emiw,subgroup,,
Eastern Mande,emnd,subgroup,,
"South Alaska ""Eskimo""",ems,subgroup,paci1278,Pacific Gulf Yupik
Eastern MSA,emsa,subgroup,,
Eastern Muskogean,emsk,subgroup,,
Markweeta,enb,language,mark1255,Markweeta
"Enets, Forest",enf,language,fore1265,Forest Enets
English,eng,language,stan1293,English
American English,eng-amr,dialect,,
British English,eng-bri,dialect,,
"Enets, Tundra",enh,language,tund1254,Tundra Enets
Eastern Nilotic,enil,subgroup,,
East Papuan,epap,subgroup,,
Ese'eha,ese,subgroup,esee1248,Ese Ejja
"""Eskimo""",esi,subgroup,nort2943,North Alaskan Inupiatun
Seward Peninsula Inupiaq,esk,language,nort2945,Seward Alaska Inupiatun
Eskimo-Aleut,eska,subgroup,,
Eskimoan,eski,subgroup,,
St. Lawrence Island Yupik,ess,subgroup,cent2128,Central Siberian Yupik
Viro,est,subgroup,,
Central Alaskan Yup'ik,esu,language,cent2127,Central Alaskan Yupik
Eastern Sudanic,esud,subgroup,,
Even,eve,subgroup,even1260,Even
Evenki,evek,subgroup,,
Solon,evn,subgroup,even1259,Evenki
Yaounde,ewo,subgroup,ewon1239,Ewondo
Extremaduran,ext,subgroup,extr1243,Extremaduran
Eyak,eya,subgroup,eyak1241,Eyak
Eyak,eyak,subgroup,,
Fulbe,ffm,subgroup,maas1239,Maasina Fulfulde
Suomi,fin,subgroup,finn1318,Finnish
Fipa,fip,language,fipa1238,Fipa
Flathead,fla,dialect,kali1308,Kalispel-Pend d'Oreille
Kalispel,fla-kal,dialect,,
Serrano-Kitanemuk,flcf,subgroup,,
Formosan,form,subgroup,,
French,fra,language,stan1290,French
Toucouleur,fuc-tou,dialect,,
Ober-Ungarisch- und Finnische Nation,fugr,subgroup,,
Fula,fula,subgroup,,
Friulian,fur,language,friu1240,Friulian
Fur,furr,subgroup,,
Sokoto,fuv-sok,dialect,,
Kaitidji,gbb,subgroup,kayt1238,Kaytetye
Garrwa,gbc,language,garr1260,Garrwan
Wanyi,gbc-wan,language,,
Karadjeri,gbd,language,kara1476,Karadjeri
Gbe,gbex,subgroup,,
Gagadju,gbu,language,gaga1251,Gaagudju
Ganggalida,gcd,language,gang1267,Ganggalida
Gadjerong,gdh,subgroup,gadj1243,Gajirrabeng
Georgian,geor,subgroup,,
Germanic,germ,subgroup,,
German,gern,subgroup,,
Galimbamu,ggd,subgroup,guga1239,Gugadj
Aghu Tharnggalu,ggr,language,aghu1254,Aghu Tharnggalu
Kwitj,gia,subgroup,kitj1240,Kitja
Guluwarin,gia-kul,dialect,,
Gyitska'n,git,subgroup,gitx1241,Gitxsan
Guang,gjn,subgroup,gonj1241,Gonja
Birar,gld,subgroup,nana1257,Nanai
Samagir,gld-sam,dialect,,
"Gaelic, Irish",gle,language,iris1253,Irish
Galician,glg,subgroup,gali1258,Galician
Manx,glv,language,manx1243,Manx
Gulyan,glyn,subgroup,,
Gamberre,gma,subgroup,gamb1251,Gambera
Mycenaean Greek,gmy,language,myce1241,Achaean Greek
Guanche,gnc,subgroup,guan1277,Guanche
Goonien,gni,subgroup,goon1238,Gooniyandi
Gangulu,gnl,language,gang1268,Gangulu
Gumatj,gnn,subgroup,guma1253,Gumatj
Mangalili,gnn-man,dialect,,
Gooreng Gooreng,gnr,subgroup,gure1255,Gureng Gureng
Goeng,gnr-goe,dialect,,
Chiriguano,gnw,language,west2640,Western Bolivian Guaraní
Gogo,gog,language,gogo1263,Gogo
Gogo (G.10),gogo,subgroup,,
Gothic,got,language,goth1244,Gothic
Gorowa,gow,language,goro1270,Gorowa
Greater Kichéan,gqui,subgroup,,
Arcado-Cyprian,grc-arc,dialect,,
Guarijío,guaj,subgroup,,
Guanche,guan,subgroup,,
Gurindji,gue,subgroup,guri1247,Gurindji
Malgin,gue-mal,dialect,,
Kupapuyngu,guf,subgroup,gupa1247,Gupapuyngu
Kupapuyngu,guf-gup,dialect,,
Madarrpa,guf-mad,dialect,,
Manggalili,guf-man,dialect,,
"Guaraní, Paraguayan",gug,subgroup,para1311,Paraguayan Guaraní
Guarani,gui,subgroup,east2555,Eastern Bolivian Guaraní
Saurashtri,guj-ptn,dialect,,
