id,name,title,author_fn,author_ln,description,digitized,source,image,related,datasource,license,downloaded,created,contact,creator,note
333598,Aztec Empire: c. 1519 (Public Content),Aztec Empire c. 1519,,,"This map represents the core states, the tributary states, and the allied states of the Aztec Empire as it stood shortly before the Spanish conquest of Mexico. The borders should be considered very approximate.",June 2012,https://commons.wikimedia.org/wiki/File:Aztec_Empire_c_1519.png,Aztec_Empire/Aztec_Empire_c_1519.png,,,"[GNU Free Documentation License](http://en.wikipedia.org/wiki/GNU_Free_Documentation_License)",,,,,
307250,Ethnic Groups of New Britain: 1873-1975,Ethnic Groups of New Britain: 1873-1975,,,"This map displays the locations of ethnic groups on the island of New Britain, the largest island of Papua New Guinea's Bismark Archipelago. The data spans the years 1873-1975 and is divided into five distinct time periods. Each period is represented with different color text and can be turned on and off via the ""Active Layers"" tab.Names followed by an asterisk denote islands or regions known as dwelling places of distinct ethnic groups, although it is uncertain whether each ethnic groups is restricted to its given location. Wassermann notes that countless manuscripts from the years 1873-1907 were destroyed during World War II, and therefore the ethnic patterns shown for this period are likely less complete than what was known during that time.",10 Aug 2011,wassmann1995part4[1-56],"HAELG/HAELG_PNG_v3_pt4_NBEthGrp_1873-1907_MAP001.jpg
HAELG/HAELG_PNG_v3_pt4_NBEthGrp_1908-1921_MAP002.jpg
HAELG/HAELG_PNG_v3_pt4_NBEthGrp_1922-1946_MAP003.jpg
HAELG/HAELG_PNG_v3_pt4_NBEthGrp_1947-1959_MAP004.jpg
HAELG/HAELG_PNG_v3_pt4_NBEthGrp_1960-1975_MAP005.jpg","Additional maps from this source include Languages of New Britain: 1873-1975, Ethnic Groups of New Ireland: 1873-1975, and Languages of New Ireland: 1873-1975.",,,,,"[Museum der Kulturen](http://www.mkb.ch/de.html)",,
218219,Australia at the Time of Contact: Non-Pama-Nyungan,Australia at Time of Contact: Non-Pama-Nyungan,,,"The largest language family in Australia is Pama-Nyungan. Most non-Pama-Nyungan languages are located in the north-western portion of the country, closest to Papua New Guinea. Despite their proximity to Papua New Guinea, these languages are a part of the Australian language family, not the Austronesian language family. The non-Pama-Nyungan languages depicted on this map are divided into subgroups, and the map is designed to be layered with the 'Australia: Time of Contact' Pama-Nyungan map, for a complete depiction of the languages spoken in Australia at the time of contact. This original map was made by vectorizing data from the [MultiTree](http://multitree.linguistlist.org/) language database and the Atlas of the World's Languages.",June 2011,,,"This folder (Australia and Austronesia: at Time of Contact) contains other maps showing linguistic subgroups.  The maps may be 
overlaid on each other for a more complete picture.","tryon2007[144-145]
[MultiTree: Australian: Composite 2011]()",,,,,,
218158,Australia at the Time of Contact: Pama-Nyungan,Australia at Time of Contact: Pama-Nyungan,,,"The largest language family in Australia is Pama-Nyungan. This map depicts Pama-Nyungan languages spoken in Australia at the time of contact, specifically calling attention to the Tangic, Karti, Wati and Yuulungu subgroups. Modern city names and locations are also included on this map, to contextualize the locations of the native languages.  This original map was made by vectorizing data from the [MultiTree](http://multitree.linguistlist.org/) language database and the Atlas of the World's Languages.",June 2011,,,"This folder (Australia and Austronesia: at Time of Contact) contains other maps showing linguistic subgroups.  The maps may be 
overlaid on each other for a more complete picture.","tryon2007[144-145]
[MultiTree: Australian: Composite 2011]()",,,,,,
110891,Australia: Australian Vegetation in 1788 (Geoscience Australia),Australian Vegetation Pre-European Settlement (1788),,,"This map, created by the National Mapping Division of Geoscience Australia, gives detailed historical information regarding vegetation across the continent prior to European settlement.  This map has been colored according to their 'Tallest Stratum Species Dominant' category, which summarizes what dominant plant species within an area are the tallest (Geoscience Australia).",,"[National Mapping Division, Geoscience Australia.  2004.<i> Vegetation - Pre-European Settlement (1788).</i>  Geoscience Australia.](http://koordinates.com/layer/740-australian-vegetation-pre-european-settlement-1788/)",,,,,4 May 2011,,,Geoscience Australia,
324158,Australia: Distribution of Bound-Form Pronouns (Dixon),Distribution of Bound-Form Pronouns,,,"This map shows the distribution of bound-form pronouns, a form which cannot occur alone, but must be attached to some other form (Dixon).",May 2012,dixon1980[Map 9. p364],LAUSDistribBP/LAUSDistribBP.jpg,,,,,,,,
321252,Australia: Language Families (Oates and Oates),Australia: Language Families,,,"This map shows the aboriginal language families in Australia based on the map prepared by Oates and Oates and supplemented with information from the following source: ""Languages of the World: Indo-Pacific Fascicle Six"" by Geoffrey N. O'Grady and C.F. and F.M. Voegelin.",May 2012,"Oates, William J. and Lynette F. Oates, editors. 1970. A revised linguistic survey of Australia. Australian Aboriginal Studies, 12. Canberra: Australian Institute for Aboriginal Studies.  Adapted from a basic classification prepared in 1966 by G.N. O'Grady, S.A. Wurm, and K.L. Hale; drawn by R.M. Watt for the Dept. of Linguistics, Univeristy of Victoria, B.C., Canada.",OatesFamilies/OatesFamilies.png,,,Copyright Protected,,,,,
354024,Australia Prehistory,Australia Prehistory,Jacob,,"The languages of Australia are extremely diverse and 
        their origins are relatively obscure. No relationship
        has yet been determined between the languages of
        Australia and those of any other region, excluding a
        number of possible loanwords from Papuan
        languages in northern Australia.
        Relationships between Australian languages
        show that even within the same continent there is
        extreme diversity. This map shows 31 distinct 
        language families in Australia, as well as groups and
        subgroups within those families, where applicable.
        The majority of these language families are located
        in the far northern part of the Northern Territory,
        and do not seem to bear definitive similarities to one
        another, forming a linguistically dense and diverse
        region. The majority of Australia, however, is taken
        up by the large Pama-Nyungan family, which is itself
        diverse, and consists of many subgroups, including
        the large Southwest Group in Western Australia, 
        Southern Australia, and parts of the Northern
        Territory and the Paman Group in north Queensland.",August 2012,wurm1972,Wurm_Australia/Australia_Prehistory.png,"[Languages of Tasmania (O'Grady and Jones)](ContributionTable#cldf:333023)
[Languages of Tasmania (Schmidt and Capell)](ContributionTable#cldf:332820)",,,,,,,
209226,"Austro-Hungarian Empire, 1867-1914","Austro-Hungarian Empire, 1867-1914",,,"This map shows the political boundaries of the Austro-Hungarian Empire between 1867, the year of its formation, and 1914. The Hungarian Kingdom included 71 administrative regions called counties. The non-Hungarian part of the Empire, which came to be known as Austria, consisted of 17 provinces, or crownlands.
In 1878 the Habsburgs were granted permission to occupy the Ottoman provinces Bosnia/Bosna and Herzegovina/Hersek, and Austria annexed Bosnia-Herzegovina as a single province in 1908. From 1867-1908 there were also Habsburg troops in the Sanjak (District) of Novi Pazar, a territory between Montenegro and Serbia.
The region labeled Galicia* is believed to belong to the province of Galicia, but it has been given a different shade of blue to reflect the coloration of the original map. No explanation for this distinction has been found.",03 June 2011,magocsi2002,HistoralAtlasCentralEurope/Central Europe - Magocsi002_page81.jpg,,,,,,,,
333524,Aymara: Language Distribution (Public Content),Aymara Language Distribution,,,"This map highlights the areas of South America where Aymara is currently spoken.  The region indicated is estimated to include most (about 90%) of Aymara speakers. Within this area, the majority are located near La Paz/El Alto.",,http://commons.wikimedia.org/wiki/Image:Aymara-Language-Distributio.png,Aymara-Language-Distribution/Aymara-Language-Distributio.png,,"[Promotora Española de Lingüística](http://www.proel.org)
[Aymara Uta ](http://www.aymara.org)","[ GNU Free Documentation License](http://en.wikipedia.org/wiki/GNU_Free_Documentation_License)",23-Dec-2005,,,,
346128,Azerbaijan: Tat Language and Language Communities (Public Content),Tat Language Area,,,Map of areas where the Tat language is spoken.,January 2008,[Wikimedia](https://commons.wikimedia.org/wiki/File:Tat-language-area.png),Tat/Tat.png,,,"[GNU Free Documentation License](http://en.wikipedia.org/wiki/GNU_Free_Documentation_LicenseGNU)",,,,,
345466,Cambodia: Kuy (SIL International),Kuy speakers in Cambodia,,,This map is the result of a rapid appraisal survey of Kuy dialects in Cambodia that took place during March 2002. This research was conducted in order to gain a broad overview of the dialects and basic sociolinguistic factors among the Kuy (Mann and Markowski 2005: 5),,"[Mann, Noel and Markowski, Linda. 1995. A Rapid Appraisal Survey of Kuy Dialects Spoken in Cambodia, 6. SIL International.](http://www.sil.org/silesr/2005/silesr2005-018.pdf)",Kuy/kuy.png,,,,,2005,,"Ken Gregerson (ICC/SIL), Feikje Vander Haak (SIL), Ho Hunt (WV), Noel Mann (SIL), Linda Markowski (SIL), and Pailin Phomngam",
212833,Slovak Dialects and County Boundaries,Slovak Dialects and County Boundaries,,,"The dialects of Slovak are seen to be particularly resilient to change.  They are resilient to the extent that a number of feature variants are considered as simply alternatives within the standard.  The three main dialect groups are indicated in this map according to colour: West Slovak is represented by shades of green; Central Slovak is represented by shades of blue, East Slovak is represented by shades of yellow. Variation in the shades shows the counties of Slovakia.  West Slovak resembles Movarian varieties of Czech in terms of sharing some features.",July 2011,"Short, David 1993. Slovak. <i>The Slavonic Languages</i>, ed. by Bernard Comrie and Grenville G. Corbett, 533-592. London:, New York: Routledge.",Slovak_Dialects/Comrie_Slavonic007.jpg,,,,,,,,
211716,Baja California (Time of Contact),ndigenous Languages of the Baja California Region at the Time of Contact,,,"This map shows indigenous languages present in and around what is modern-day Baja California at the time of contact with European settlers.
This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.",8-June-2011,,,This map is part of a mapping project detailing the languages of the North America. The maps may be overlaid on each other for a more complete picture.,"campbell2007
[MultiTree: North America]()",,,,,,
211654,"Balkan Peninsula: Ethnolinguistic Distribution, ca. 1910","Balkan Peninsula: Ethnolinguistic Distribution, ca. 1910",,,"This map shows the distribution of ethnolinguistic groups in the Balkan Peninsula around the year 1910. The colors follow larger ethnolinguistic groupings as noted in the legend, and the few regions which were not colored or labeled on the original map have been designated as ""Unknown.""",8 June 2011,magocsi2002,"HistoralAtlasCentralEurope/Central Europe - Magocsi001_page 99_useforlegend.jpg
HistoralAtlasCentralEurope/Central Europe - Magocsi001_page87.jpg",,,,,,,,
303663,Bora-Witótoan in Contemporary South America,Bora-Witótoan in Contemporary South America,,,This map shows where Bora-Witótoan languages were spoken in South America ca. 2007. This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.,July 2011,"kaufman2007[83-93]
[MultiTree: Huitotoan: Composite](ContributionTable#cldf-multitree:Huitotoan%3A%20Composite)",,This folder (Contemporary South American Languages) contains other maps displaying linguistic subgroups in the region. The maps may be overlaid on each other for a more complete picture.,,,,,,,
212758,Bora-Witótoan in South America at the Time of Contact,Bora-Witótoan in South America at the Time of Contact,,,"The areas pictured display locations of where Bora-Witótoan languages were spoken when they were first encountered and knowledge of them was recorded. As specified in Asher and Moseley, the time of contact varied for each language; most of the coastal languages were first identified during the 16th and 17th centuries, although some languages in the interior of South America became known much more recently during the 20th century (Kaufman 2007). This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.",June 2011,,,"This folder (Central and South America: Time of Contact) contains other maps 
showing linguistic subgroups and their time of contact.  The maps may be 
overlaid on each other for a more complete picture.","kaufman2007[82-92]
[MultiTree: Macro-Andean Cluster: Kaufman 2007](Macro-Andean%20Cluster%3A%20Kaufman%202007)",,,,,,
347643,Breton: Language Extent (Haywood),Extent of Breton,,,This map presents the eastern border of Breton in the year 800 AD and in the 17th century.,July 2012,haywood2001,ExtentOfBreton/ExtentOfBreton.html,,,,,,,,
12136,Canada and Alaska: Languages and Intercommunication (Bakker),Canada and Alaska: Languages and Intercommunication,,,Illustrated here are a series of boundaries of native American language groups in Canada and Alaska. The arrows indicate directions of communication and cultural or language influence as hypothesized by Bakker and Papen (1996).,2010,"bakker1996canada",LangsandIntercomm/atlas018.JPG,,,,,,,,
345543,Canada: Cultural Areas,Canada: Cultural Areas,,,"This map was created from shapefile data provided by the National Atlas of Canada.
Canada may be divided into six broad Aboriginal cultural areas based on major geographic regions. Tribes in the same region share a greater number of cultural affinities than tribes from different regions. However only in the Arctic do the lines of geography, language and culture coincide so closely. Nunavutâs boundary strongly reflects that of the cultural zone of the Aboriginal people of the Eastern Arctic. The Inuit are descendants of the Thule, who came from Asia and lived in the Arctic for thousands of years. Their language, Inuktitut, is spoken by most of the population.
This map illustrates the six major aboriginal cultural areas of Canada. Notice that the Nunavut boundary closely reflects that of the cultural zone of the people of the Eastern Arctic. The Inuit also live in the northern regions of the Northwest Territories, northern Quebec and Labrador. The spoken language, Inuktitut, is limited to Nordic regions, while the other native cultural areas of Canada are much more heterogeneous.
The Arctic, characterized by its cold environment and scarce resources, has produced a highly specialized culture which was centred primarily on the hunt for seals and other marine mammals in coastal regions and caribou in inland areas west of Hudson Bay. Small, widely dispersed bands of hunters have traditionally followed seasonal migration patterns in search of these prey. (National Atlas of Canada)",,"[National Atlas of Canada](http://atlas.nrcan.gc.ca/)",,,,CC-BY-NC-4.0,20-Oct-2010,,,,
342132,Canada: Native Peoples of the Subarctic Region,Native People: Subarctic,,,"This map illustrates the first peoples of Canada before European contact.  The Eastern Subarctic groups spoke Algonquian, while the Western Subarctic people spoke Athapascan. Scholars estimate that less than 60,000 people inhabited this area at the time.",,"[First Peoples of Canada's website](http://firstpeoplesofcanada.com/fp_groups/fp_subarctic1.html) as adapted from [ The Canadian Encyclopedia.](http://www.thecanadianencyclopedia.com/index.cfm?PgNm=TCE&Params=A1ARTA0009072)",SubarticPeopleNA/SubarticPeopleNA.jpg,,Goldi Productions Ltd. 2007,,09-29-2010,,,,
347549,Celtic: Breton Place Names (Haywood),Breton Place Names,,,"This map presents areas in France where Breton affixes appear in place-names. Specifically, it maps areas with the main concentration of place-names with the suffix -ac, and the prefixes plou-, guic-, tre-, lan-.",July 2012,haywood2001,BretonPlaceNames/Celtic018.png,[Breton: Language Extent (Haywood)](ContributionTable#cldf:347643),,,,,,,
348407,Celtic: Speaker Distribution in 1991 (Haywood),Celtic: Speaker Distribution in 1991,,,This map presents the distribution of Celtic-speaking populations in 1991. It also maps areas where Celtic is being revitalized.,July 2012,haywood2001,CurrentCeltic/CurrentCeltic.png,,,,,,,,
348523,Central and Eastern Europe: Language and Dialects (Public Content),Languages and Dialects of Central and Eastern Europe,,,"This map presents the distribution of languages and dialects in Central and Eastern Europe. An English version of the map, done by Wikimedia User Kpalion is available on [Wikimedia](https://commons.wikimedia.org/wiki/File:Languages_of_CE_Europe.PNG).",,"[ Wikimedia](http://pl.wikipedia.org/wiki/Plik:Jezyki_i_dialekty_Europa_Srodkowo_Wsch..jpg)",EasternEurope/EasternEurope.png,,,This image is in the public domain because it contains materials that originally came from the United States Central Intelligence Agency's World Factbook.,23 Feb 2007,,,,
212436,Slovene Dialects,Slovene Dialects,,,"The dialects of Slovene are thought to be more diverse than the dialects of any other Slavonic language.  This level of diversity can lead to incomprehensibility within Slovenia. Dialectology studies on Slovene can often result in uncovering 35 - 50 different Slovene dialects and subdialects, but this map shows the main dialect groups of Slovene which are often agreed upon.",July 2011,priestly1993,Slovene_Dialects/Comrie_Slavonic005.jpg,,,,,,,,
214142,Belorussian Dialect Groups,Belorussian Dialect Groups,,,"Classifications of the Belorussian dialects tend to agree on dividing them into the north-eastern group and the south-western group.  This map shows these two large groups subdivided further; the north-eastern group comprises the Polack group and the Vicebsk-Malihëŭ group, whereas the south-western group comprises the Brèst-Pinsk group, the Western group and the Sluck-Babrujsk-Mazyr group.  The band of central dialects shown, which lies between these two major groups, is considered to be transitional.",July 2011,"Mayo, Peter. 1993. Belorussian.<i> The Slavonic Languages</i>, ed. by Bernard Comrie and Grenville G. Corbett, 887-946. London:, New York: Routledge.",Belorussian_Dialect_Groups/Comrie_Slavonic010.jpg,,,,,,,,
213943,Central American Languages,Central American Languages,,,"This map depicts the languages of Central America, spanning southern California to Colombia. Includes three language isolates as well as languages from the Mayan, Oto-Manguean, Chibchan, Uto-Aztecan, Choco, Totonacan, Arawakan, Yuman, Mazatecan, Misumalpan, and Mixe-Zoquean families. Also note that the Lenca language's classification is currently disputed.",15 June 2011,"This map is recreated from the 'Teaching Materials' area of the [ Thesaurus Indogermanischer Text- und Sprachmaterialien (TITUS)](http://titus.uni-frankfurt.de/indexe.htm) project, a joint project of the Institute of Comparative Linguistics of the Johann Wolfgang Goethe-Universität, Frankfurt am Main, the Ústav starého Predního východu of Charles University, Prague, the Institut for Almen og Anvendt Sprogvidenskab of the University of Kopenhagen and the Departamento de Filología Clásica y Románica (Filología Griega) de la Universidad de Oviedo.",Mamerie2/Mamerie.png,,,"Jost Gippert, Frankfurt a/M 1999-2003. This server provides teaching materials concerning Indo-European and Non-Indo-European languages. Those materials that can be downloaded via http can be used freely for teaching purposes, provided that they are quoted as sources and the name(s) of the editor(s) and the date of last changes are indicated. No parts of this document may be republished in any form without prior permission by the copyright holder.",,,"Jost Gippert, gippert@em.uni-frankfurt.de, TITUS",,
210900,Central U.S. (Time of Contact),Indigenous Languages of the Central U.S. at the Time of Contact,,,"This map shows indigenous languages present in and around what is now the central region of the United States at the time of contact with European settlers.
This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.",8-June-2011,,,This map is part of a mapping project detailing the languages of the North America. The maps may be overlaid on each other for a more complete picture.,"campbell2007
[MultiTree: North America]()",,,,,,
