ID,Name,Description,Contributor,Citation,Language_IDs,Media_IDs,Related
12114,Ancient Languages of the Tarim Basin,"This map shows the range of four of the languages spoken in the Tarim basin in the later First Millennium AD. Since the languages have been so long extinct, the areas in which the languages are shown to have been spoken should be seen as only hypotheses.",The LINGUIST List (Anthony Aristar),,,216265_geojson 216310_geojson,
306830,Approximate Homelands of Language Families in East Asia,This map should be viewed as a hypothesis rather than an accurate representation.  It displays the approximate area which was occupied by neolithic cultures and the approximate origins of large language families.  This approximate representation has been compiled by a combination of linguistic reconstruction methods and archeological information.,,,,306868_geojson 307001_geojson 307074_geojson 307110_geojson 8f83a57a0896f6fa0254e981e170078d,
12210,Australia: Language Subgroups (Oates and Oates),"This map shows the aboriginal language subgroups in Australia based on the map prepared by Oates and Oates and supplemented with information from the following source: ""Languages of the World: Indo-Pacific Fascicle Six"" by Geoffrey N. O'Grady and C.F. and F.M. Voegelin.",,,0g3 0g4 0g5 0g6 0g7 0g8 0g9 0gj 0gm 0gr 0gt 0gu 0gv 0gw 0gw-nrw 0gx 0gz 0h0 0h1 0h3 0h5 0ha 0ha-bad 0he 0hf 0hg 0hh 0hh-wol 0hk 0hl 0hm 0hn 0ho 0ho-bar 0hp 0hq 0hr 0hs 0ht 0hu 0hu-kir 0hv 0hw 0hw-era 0hw-nga 0hw-ngi 0hw-ngr 0hx 0ik 0p7 0ql 0s1 0s5 0s7 0s9 0sl 0sm 0st 0su 0ta 0tb 0tc 0ty 0u7 0u8 0u9 0ug 0uq 0uu 0uw 0ux 0uy 0uz 0va 0vb 0vc 0vd 0ve 0vf 0vf-dja 0vf-wot 0vp 0vx 0vy 0w0 0wd 0wr 0wr-mar 0x0 0x1 0x2 0x8 0xf 0xf-bun 0xf-tng 0xn 0xo 0xp 0xp-brb 0xp-brt 0xp-kra 0xp-tat 0xq 0xs 0xt 0xu 0xv 0xx 0xy 0xz 0y1 0y2 0y3 0y4 0ya 0yz 0zc 0zm 0zn adg adt aer aid alh aly amg amx ant aoi ard are are-sou awk awk-cam awk-won bcj bck bdy bdy-gid bdy-wid bdy-yug bia bjb bjd bjy bvr bxi bxj bxn bym bym-ngu bym-wdb bzr bzr-bar bzr-jan bzr-kab bzr-kar bzr-wir bzr-yam dbl dbl-gir dbl-gul dbl-mam dbl-nga ddj ddj-dja ddj-nyi dhg-gaa dhg-rir dhg-wan dhl dhr dhu dhu-wal dhu-wan dif djb djd djd-nga dji djj djl djn djw drl drl-kul drl-wil drua dyb dyd dyn dyy gbb gbc gbc-wan gbd gbu gcd gdh ggd ggr gia gia-kul glyn gma gni gnl gnn gnn-man gnr gnr-goe gue gue-mal guf guf-gup guf-mad guf-man gunw gup gvn gvn-bid gvy gwu gww gyd gyf gyy ibd jao jay jig jng kany kard kba kbe kda kdd kgl kgs king kjn kjn-oyk kkp kky kld kld-koi kld-wer kld-yua knya korn krna ktd ktg kuln kuri kux kvs lamc lby lbz lnj lrg marn mec mem mep mfr mhg min mirn miyl miyn mnt mpam mpb mpc mph mpj mrli mvl mwd mwf mwp mwp-kal mwp-kaw mwp-kul mwrc nad nam-nge nay nay-por nay-ram nay-tan nay-war nbj nbj-bil nbx nbx-bid nbx-dhi nbx-gar nbx-kal nbx-nga nbx-ngu nbx-won nbx-yar nck ngar ngk nglt ngra ngum nhf nid nju nlr nly nly-wid nmp nmv nna nna-bid nnv nny npam npma nrl nrx ntj nug nuy nyh nys-bal nys-jua nys-kal nys-kan nys-kor nys-min nys-nya nys-pib nys-pin nys-war nys-wii nys-wud nyt nyun nyv nyx pii piu pjt pjt-pit pjt-yan pnv pnw pti qe3 qk6 qk6-ama qman qmar qnga qt2 qt2-bar qyar rit rmb sks spma tbh tbh-wad than thd tiw tju ump ung ung-guw ung-wil ung-wol unp unp-ung urf urf-jat vka vku vma vmb vmi vml vml-bul vmu wati wbp wbp-nga wbt wbv wdj wdu wga wgg wgy wie wih wik wil wim wiw wkw wkw-dal wlg wmb wmb-gud wmi wmt wmt-dju wnd wnm wpma wrb wrg wrgu wrh wri wrl wrm wrr wub wub-gam wub-miw wwr wyb wyb-ngi wyb-wan wyb-way yalc yara ydic yia yii yiy ylr yub yuin yura ywr yww zku zmc zme zmk zmu,32e95cc3833739220e44fbbec9f4f233,"Capell, A. ""Languages of Arnhem Land, North Australia"". 1942. <u>Oceania</u>, XIII. 24-49.
O'Grady, Geoffrey N. and C.F. and F.M. Voegelin. 1966. ""Languages of the World: Indo-Pacific Fascicle Six,"" <u>Anthropological Linguistics</u>, 8:2, 1966.
Tindale, Norman B. 1940. <u>Map of Aboriginal Tribes of Australia</u>, Adelaide.
[Aboriginal Languages of Australia: Language Families (Oates and Oates)](ContributionTable#cldf:12207)
[Aboriginal Languages of Australia: Language Groups (Oates and Oates)](ContributionTable#cldf:12208)
[Aboriginal Languages of Australia: Language Locations and Tribal Groups (Dixon and Blake)](ContributionTable#cldf:11835)
[Aboriginal Languages of Australia: Languages and Dialects](ContributionTable#cldf:12206)"
12230,Sweden: Saami Language Areas (Selinge et al),"This map shows the distribution of Saami dialects spoken in Sweden.
Although the Saami people are only about 18,000 in number, they have four dialects. Finnish used to be spoken in a far larger area than today - mainly as a result of colonisation from Savolaks in the 16th and 17th centuries. (Selinge et al 1994)",,,sju sma sme smj,25012ce276fd20dcca4d22054b2d4043,
321373,"Arabic as an Administrative and Cultural Language in Spain: The Umayyads in Spain, 950-1050,The Umayyads in Spain",This map illustrates the geographical extent of the Umayyad Caliphate in Spain between 950 and 1050 CE.,,,arb,335368_geojson 4b005dd0a85c597148268f14e41dc0b8,
305568,Arawán in Contemporary South America,This map shows where languages in the Arawán language group were spoken ca. 2007. This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.,,,,305571_geojson,This folder (Contemporary South American Languages) contains other maps displaying linguistic subgroups in the region. The maps may be overlaid on each other for a more complete picture.
337775,Atlas of Medieval Europe: Barbarian Kingdoms c. 534 CE,"This map depicts the barbarian kingdoms of Europe as they stood in 534 CE. This map can be viewed as a resulting snap-shot of the barbarian migrations of the previous two centuries, which the link below further elaborates.
        This original map was made by vectorizing
        data from the [MultiTree](http://multitree.org/) language database and the Atlas of the World's Languages.",,,,3302c1a589b01f47f071c1ae312df699 337862_geojson 339990_geojson 347215_geojson 347478_geojson,[Atlas of Medieval Europe: Barbarian Migrations in the 5th century](ContributionTable#cldf:338611)
343409,Atlas of Medieval Europe: Spread of the Black Death,"This map depicts the spread of the Black Death in Europe during the mid-14th century. Starting from the Black and Mediterranean Seas, the plague advanced west and north across Europe. The span of years shown here is from November 1348 CE to December of 1350 CE. Areas of low plague mortality in south-western France and central Poland are also shown. The lines represent the extent of the plague's advancement at the given date. That is, the dates refer to the time the plague reached the areas indicated by the lines.
        This original map was made by vectorizing
        data from the MultiTree
        language database and the Atlas of the World's Languages.",,,,343573_geojson 343592_geojson 347417_geojson 59a3a45da4fd089c55b45a051c3bc2b0,
301223,Atlas of the Arctic: Ethnic Map,"This map illustrates the placement of minorities (indigenous peoples of the region) and also newer groups, comprising at the present time a predominant part of the population. The character of the settlement of ethnic groups gives an idea about the ongoing processes of intermixing, which is an important factor in ethnic processes.""  
The map as presented in <i>Atlas of the Arctic</i> is compiled from a number of sources, including: Map of the Peoples of the USSR (MAGC, 1981); Map of Population Density (MAGC, 1979); Map of the Peoples of Europe (MAGC, 1969); Map of the World's Peoples and Population Density (MAGC, 1979); Canadian Statistical Yearbook.
Note that due to the significant discrepancy between the original map's azimuthal polar projection and LL-MAP's WGS 84/Mercator projections, some fidelity loss and major distortion is inevitable.",,,,301285_geojson 301335_geojson 5b529cd549be4478ccf9eb1bb395d1ec,
333598,Aztec Empire: c. 1519 (Public Content),"This map represents the core states, the tributary states, and the allied states of the Aztec Empire as it stood shortly before the Spanish conquest of Mexico. The borders should be considered very approximate.",,,mixn tara zapn,2e6f2835abf4bb613ef473e761543fd3,
307250,Ethnic Groups of New Britain: 1873-1975,"This map displays the locations of ethnic groups on the island of New Britain, the largest island of Papua New Guinea's Bismark Archipelago. The data spans the years 1873-1975 and is divided into five distinct time periods. Each period is represented with different color text and can be turned on and off via the ""Active Layers"" tab.Names followed by an asterisk denote islands or regions known as dwelling places of distinct ethnic groups, although it is uncertain whether each ethnic groups is restricted to its given location. Wassermann notes that countless manuscripts from the years 1873-1907 were destroyed during World War II, and therefore the ethnic patterns shown for this period are likely less complete than what was known during that time.",,,,02a25e4f6476a1b63011fa11ef3bead4 2d4947eb2607bb0a0b284df109182735 307321_geojson 307352_geojson 307369_geojson 307387_geojson 307406_geojson 7541155af36da63c0dbe59d5a45365b7 c71e76c272974e235424eb779980799e ded9101e55334bea9596a406365efe5c,"Additional maps from this source include Languages of New Britain: 1873-1975, Ethnic Groups of New Ireland: 1873-1975, and Languages of New Ireland: 1873-1975."
218219,Australia at the Time of Contact: Non-Pama-Nyungan,"The largest language family in Australia is Pama-Nyungan. Most non-Pama-Nyungan languages are located in the north-western portion of the country, closest to Papua New Guinea. Despite their proximity to Papua New Guinea, these languages are a part of the Australian language family, not the Austronesian language family. The non-Pama-Nyungan languages depicted on this map are divided into subgroups, and the map is designed to be layered with the 'Australia: Time of Contact' Pama-Nyungan map, for a complete depiction of the languages spoken in Australia at the time of contact. This original map was made by vectorizing data from the [MultiTree](http://multitree.linguistlist.org/) language database and the Atlas of the World's Languages.",,,,218222_geojson 218242_geojson 218335_geojson 218375_geojson 218395_geojson 218415_geojson 218434_geojson 218453_geojson 218472_geojson 218491_geojson 218510_geojson 218529_geojson 218548_geojson 218567_geojson 218587_geojson 218606_geojson 218625_geojson 218644_geojson 219108_geojson,"This folder (Australia and Austronesia: at Time of Contact) contains other maps showing linguistic subgroups.  The maps may be 
overlaid on each other for a more complete picture."
218158,Australia at the Time of Contact: Pama-Nyungan,"The largest language family in Australia is Pama-Nyungan. This map depicts Pama-Nyungan languages spoken in Australia at the time of contact, specifically calling attention to the Tangic, Karti, Wati and Yuulungu subgroups. Modern city names and locations are also included on this map, to contextualize the locations of the native languages.  This original map was made by vectorizing data from the [MultiTree](http://multitree.linguistlist.org/) language database and the Atlas of the World's Languages.",,,,218181_geojson 218201_geojson 218829_geojson 218849_geojson 218889_geojson 218908_geojson 218928_geojson 219128_geojson,"This folder (Australia and Austronesia: at Time of Contact) contains other maps showing linguistic subgroups.  The maps may be 
overlaid on each other for a more complete picture."
110891,Australia: Australian Vegetation in 1788 (Geoscience Australia),"This map, created by the National Mapping Division of Geoscience Australia, gives detailed historical information regarding vegetation across the continent prior to European settlement.  This map has been colored according to their 'Tallest Stratum Species Dominant' category, which summarizes what dominant plant species within an area are the tallest (Geoscience Australia).",Geoscience Australia,,,110982_geojson,
324158,Australia: Distribution of Bound-Form Pronouns (Dixon),"This map shows the distribution of bound-form pronouns, a form which cannot occur alone, but must be attached to some other form (Dixon).",,,,324161_geojson 324191_geojson 324210_geojson 324240_geojson ce3ec3817fad5ddcd18d308c603cfba9,
321252,Australia: Language Families (Oates and Oates),"This map shows the aboriginal language families in Australia based on the map prepared by Oates and Oates and supplemented with information from the following source: ""Languages of the World: Indo-Pacific Fascicle Six"" by Geoffrey N. O'Grady and C.F. and F.M. Voegelin.",,,,321255_geojson 325370_geojson 325391_geojson 325422_geojson 325452_geojson 325473_geojson 325504_geojson 325535_geojson 325566_geojson 325588_geojson 325621_geojson 325652_geojson 325671_geojson 325692_geojson 325723_geojson 325754_geojson 325785_geojson 325818_geojson 325839_geojson 325860_geojson 325891_geojson 325912_geojson 325943_geojson 325976_geojson 326020_geojson 326051_geojson 326072_geojson 326093_geojson 326124_geojson 326157_geojson 32e95cc3833739220e44fbbec9f4f233,
354024,Australia Prehistory,"The languages of Australia are extremely diverse and 
        their origins are relatively obscure. No relationship
        has yet been determined between the languages of
        Australia and those of any other region, excluding a
        number of possible loanwords from Papuan
        languages in northern Australia.
        Relationships between Australian languages
        show that even within the same continent there is
        extreme diversity. This map shows 31 distinct 
        language families in Australia, as well as groups and
        subgroups within those families, where applicable.
        The majority of these language families are located
        in the far northern part of the Northern Territory,
        and do not seem to bear definitive similarities to one
        another, forming a linguistically dense and diverse
        region. The majority of Australia, however, is taken
        up by the large Pama-Nyungan family, which is itself
        diverse, and consists of many subgroups, including
        the large Southwest Group in Western Australia, 
        Southern Australia, and parts of the Northern
        Territory and the Paman Group in north Queensland.",Jacob ,,,d39962604b18003e56881c5f38e9f9ce,"[Languages of Tasmania (O'Grady and Jones)](ContributionTable#cldf:333023)
[Languages of Tasmania (Schmidt and Capell)](ContributionTable#cldf:332820)"
209226,"Austro-Hungarian Empire, 1867-1914","This map shows the political boundaries of the Austro-Hungarian Empire between 1867, the year of its formation, and 1914. The Hungarian Kingdom included 71 administrative regions called counties. The non-Hungarian part of the Empire, which came to be known as Austria, consisted of 17 provinces, or crownlands.
In 1878 the Habsburgs were granted permission to occupy the Ottoman provinces Bosnia/Bosna and Herzegovina/Hersek, and Austria annexed Bosnia-Herzegovina as a single province in 1908. From 1867-1908 there were also Habsburg troops in the Sanjak (District) of Novi Pazar, a territory between Montenegro and Serbia.
The region labeled Galicia* is believed to belong to the province of Galicia, but it has been given a different shade of blue to reflect the coloration of the original map. No explanation for this distinction has been found.",,,,209229_geojson 209252_geojson 209272_geojson 209357_geojson de372bf0a87f50ddec25ed9735d0ff0a,
333524,Aymara: Language Distribution (Public Content),"This map highlights the areas of South America where Aymara is currently spoken.  The region indicated is estimated to include most (about 90%) of Aymara speakers. Within this area, the majority are located near La Paz/El Alto.",,,ayc ayma ayr,333527_geojson 7453cab45fa1cf42ea7223b5441e630b,
346128,Azerbaijan: Tat Language and Language Communities (Public Content),Map of areas where the Tat language is spoken.,,,,346131_geojson 346152_geojson fcd7975b6dd357fff7043b0ed3b1333b,
345466,Cambodia: Kuy (SIL International),This map is the result of a rapid appraisal survey of Kuy dialects in Cambodia that took place during March 2002. This research was conducted in order to gain a broad overview of the dialects and basic sociolinguistic factors among the Kuy (Mann and Markowski 2005: 5),"Ken Gregerson (ICC/SIL), Feikje Vander Haak (SIL), Ho Hunt (WV), Noel Mann (SIL), Linda Markowski (SIL), and Pailin Phomngam",,,345469_geojson 92e9cf9b5be63e657a828aa1bc84a8b5,
212833,Slovak Dialects and County Boundaries,"The dialects of Slovak are seen to be particularly resilient to change.  They are resilient to the extent that a number of feature variants are considered as simply alternatives within the standard.  The three main dialect groups are indicated in this map according to colour: West Slovak is represented by shades of green; Central Slovak is represented by shades of blue, East Slovak is represented by shades of yellow. Variation in the shades shows the counties of Slovakia.  West Slovak resembles Movarian varieties of Czech in terms of sharing some features.",,,slk-cen slk-eas slk-wes,212864_geojson 212899_geojson c4133fd2f7ef49f6b5e3bf75d4299481,
211716,Baja California (Time of Contact),"This map shows indigenous languages present in and around what is modern-day Baja California at the time of contact with European settlers.
This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.",,,,210997_geojson 211163_geojson 211218_geojson 217278_geojson 217342_geojson,This map is part of a mapping project detailing the languages of the North America. The maps may be overlaid on each other for a more complete picture.
211654,"Balkan Peninsula: Ethnolinguistic Distribution, ca. 1910","This map shows the distribution of ethnolinguistic groups in the Balkan Peninsula around the year 1910. The colors follow larger ethnolinguistic groupings as noted in the legend, and the few regions which were not colored or labeled on the original map have been designated as ""Unknown.""",,,,211699_geojson 212509_geojson 212528_geojson 7d931c773338896be04421a3c7f09085 c7a3e7a21a313466a7bb66e9e1e49742,
303663,Bora-Witótoan in Contemporary South America,This map shows where Bora-Witótoan languages were spoken in South America ca. 2007. This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.,,,,304365_geojson,This folder (Contemporary South American Languages) contains other maps displaying linguistic subgroups in the region. The maps may be overlaid on each other for a more complete picture.
212758,Bora-Witótoan in South America at the Time of Contact,"The areas pictured display locations of where Bora-Witótoan languages were spoken when they were first encountered and knowledge of them was recorded. As specified in Asher and Moseley, the time of contact varied for each language; most of the coastal languages were first identified during the 16th and 17th centuries, although some languages in the interior of South America became known much more recently during the 20th century (Kaufman 2007). This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.",,,,,"This folder (Central and South America: Time of Contact) contains other maps 
showing linguistic subgroups and their time of contact.  The maps may be 
overlaid on each other for a more complete picture."
347643,Breton: Language Extent (Haywood),This map presents the eastern border of Breton in the year 800 AD and in the 17th century.,,,,04d75a727df828b09ea5a5b7824440dc ce9692dfa276fd9e69c320ef9a8547c1 e3e6e6021dd3fa7b05ad6e77928a2d94 fae2cb674a9c341286b35a3c2f8f8fc1,
12136,Canada and Alaska: Languages and Intercommunication (Bakker),Illustrated here are a series of boundaries of native American language groups in Canada and Alaska. The arrows indicate directions of communication and cultural or language influence as hypothesized by Bakker and Papen (1996).,,,,0aded904785523d092472106e70032ff 110540_geojson 110587_geojson 207379_geojson,
345543,Canada: Cultural Areas,"This map was created from shapefile data provided by the National Atlas of Canada.
Canada may be divided into six broad Aboriginal cultural areas based on major geographic regions. Tribes in the same region share a greater number of cultural affinities than tribes from different regions. However only in the Arctic do the lines of geography, language and culture coincide so closely. Nunavutâs boundary strongly reflects that of the cultural zone of the Aboriginal people of the Eastern Arctic. The Inuit are descendants of the Thule, who came from Asia and lived in the Arctic for thousands of years. Their language, Inuktitut, is spoken by most of the population.
This map illustrates the six major aboriginal cultural areas of Canada. Notice that the Nunavut boundary closely reflects that of the cultural zone of the people of the Eastern Arctic. The Inuit also live in the northern regions of the Northwest Territories, northern Quebec and Labrador. The spoken language, Inuktitut, is limited to Nordic regions, while the other native cultural areas of Canada are much more heterogeneous.
The Arctic, characterized by its cold environment and scarce resources, has produced a highly specialized culture which was centred primarily on the hunt for seals and other marine mammals in coastal regions and caribou in inland areas west of Hudson Bay. Small, widely dispersed bands of hunters have traditionally followed seasonal migration patterns in search of these prey. (National Atlas of Canada)",,,,345546_geojson,
342132,Canada: Native Peoples of the Subarctic Region,"This map illustrates the first peoples of Canada before European contact.  The Eastern Subarctic groups spoke Algonquian, while the Western Subarctic people spoke Athapascan. Scholars estimate that less than 60,000 people inhabited this area at the time.",,,,342135_geojson 6ccb8618848ac8a0b26df08a91ad5b41,
347549,Celtic: Breton Place Names (Haywood),"This map presents areas in France where Breton affixes appear in place-names. Specifically, it maps areas with the main concentration of place-names with the suffix -ac, and the prefixes plou-, guic-, tre-, lan-.",,,roma,ce9692dfa276fd9e69c320ef9a8547c1,[Breton: Language Extent (Haywood)](ContributionTable#cldf:347643)
348407,Celtic: Speaker Distribution in 1991 (Haywood),This map presents the distribution of Celtic-speaking populations in 1991. It also maps areas where Celtic is being revitalized.,,,celt ieur,8e8c92f9c4a3bb370ba88b6c6d687977,
348523,Central and Eastern Europe: Language and Dialects (Public Content),"This map presents the distribution of languages and dialects in Central and Eastern Europe. An English version of the map, done by Wikimedia User Kpalion is available on [Wikimedia](https://commons.wikimedia.org/wiki/File:Languages_of_CE_Europe.PNG).",,,,348526_geojson 453ff00381c9a89dacd7471bfc1f0e1a,
212436,Slovene Dialects,"The dialects of Slovene are thought to be more diverse than the dialects of any other Slavonic language.  This level of diversity can lead to incomprehensibility within Slovenia. Dialectology studies on Slovene can often result in uncovering 35 - 50 different Slovene dialects and subdialects, but this map shows the main dialect groups of Slovene which are often agreed upon.",,,slv-inn slv-kor slv-low slv-pan slv-pri slv-rov slv-sta slv-upp,303200_geojson 303236_geojson ed7310a68468c4d24e0a73ec7d8c8fec,
214142,Belorussian Dialect Groups,"Classifications of the Belorussian dialects tend to agree on dividing them into the north-eastern group and the south-western group.  This map shows these two large groups subdivided further; the north-eastern group comprises the Polack group and the Vicebsk-Malihëŭ group, whereas the south-western group comprises the Brèst-Pinsk group, the Western group and the Sluck-Babrujsk-Mazyr group.  The band of central dialects shown, which lies between these two major groups, is considered to be transitional.",,,bel-brp bel-cen bel-pol bel-sbm bel-vic,180fd1bf201ebba7b357798d417698e0 214147_geojson,
213943,Central American Languages,"This map depicts the languages of Central America, spanning southern California to Colombia. Includes three language isolates as well as languages from the Mayan, Oto-Manguean, Chibchan, Uto-Aztecan, Choco, Totonacan, Arawakan, Yuman, Mazatecan, Misumalpan, and Mixe-Zoquean families. Also note that the Lenca language's classification is currently disputed.",,,,213946_geojson 214839_geojson 214861_geojson 216159_geojson 216181_geojson 66299a77ae7f1ae8e81b6df81fc4913f,
210900,Central U.S. (Time of Contact),"This map shows indigenous languages present in and around what is now the central region of the United States at the time of contact with European settlers.
This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.",,,,210066_geojson 210449_geojson 210904_geojson 210930_geojson,This map is part of a mapping project detailing the languages of the North America. The maps may be overlaid on each other for a more complete picture.
111847,"Changes in the Evenki (Tungus), Yakut and NE Paleoasiatic territories and language areas","This map illustrates the distribution of Koryak, Itelmen and Chukchi in Northeast Asia as well as the changes in language population of the Evenki and Yakut from the 17th to the 19th Century. Below is the breakdown of the populations of the ethnic groups:  
<table border=""1"">
<tr>
<th>Century</th>
<th>Evenki</th>
<th>Yakut </th>
<td>Chukchi </td>
<td> Itelmen</td>
<td> Koryak</td>
</tr>
<tr>
<td>17th Century</td>
<td>450</td>
<td> 1250 </td>
<td> 2400 </td>
<td> 12380 </td>
<td> 12990 </td>
</tr>
<tr>
<td>18th Century</td>
<td>200</td>
<td> 6300 </td>
<td> 6000</td>
<td>3200 </td>
<td> 4670 </td>
</tr>
<tr>
<td> 19th Century</td>
<td> 100 </td>
<td>15075 </td>
<td> 8500</td>
<td>1250 </td>
<td>7362 </td>
</table> 
Go to active layers and check boxes in order to see the changes throughout the centuries.",,,ckt evn itl kpy sah,111850_geojson 111870_geojson 111894_geojson 111918_geojson 111938_geojson 111959_geojson 111981_geojson 112003_geojson 112025_geojson 9d2a2afdb5f25d1438292c5aaea77505,
473582,Charrúan in South America at the Time of Contact,"The areas pictured display locations of where Charrúan languages were spoken when they were first encountered and knowledge of them was recorded. As specified in Asher and Moseley, the time of contact varied for each language; most of the coastal languages were first identified during the 16th and 17th centuries, although some languages in the interior of South America became known much more recently during the 20th century (Kaufman 2007). This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.",,,,,"This folder (Central and South America: Time of Contact) contains other maps 
showing linguistic subgroups and their time of contact. The maps may be 
overlaid on each other for a more complete picture."
214660,Chibcha-Misumalpan in Central and South America at the Time of Contact,"The areas pictured display locations of where Chibcha-Misumalpan languages were spoken when they were first encountered and knowledge of them was recorded.  As specified by Asher and Moseley, the time of contact varied for each language; most of the coastal languages were first identified during the 16th and 17th centuries, although some languages in the interior of South America became known much more recently during the 20th century (Kaufman 2007). This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.",,,,,"This folder (Central and South America: Time of Contact) contains other maps 
showing linguistic subgroups and their time of contact.  The maps may be 
overlaid on each other for a more complete picture."
306113,Chikitano-Boróroan in Contemporary South America,This map shows where languages in the Chikitano-Boróroan language group were spoken ca. 2007. This original map was made by vectorizing data from the MultiTree language database and the Atlas of the World's Languages.,,,,306116_geojson,This folder (Contemporary South American Languages) contains other maps displaying linguistic subgroups in the region. The maps may be overlaid on each other for a more complete picture.
